NumIters,Seconds,LearningRate,loss
0.0,35.553144,0.001,3.74719
20.0,40.429758,0.001,3.64537
40.0,45.464219,0.001,3.59207
60.0,50.413486,0.001,3.54313
80.0,55.289614,0.001,3.47248
100.0,60.343468,0.001,3.47247
120.0,65.309858,0.001,3.44153
140.0,70.106678,0.001,3.29093
160.0,75.147548,0.001,3.39532
180.0,80.192339,0.001,3.31578
200.0,85.096188,0.001,3.50365
220.0,90.124928,0.001,3.27284
240.0,95.081842,0.001,3.31331
260.0,99.822517,0.001,3.3636
280.0,104.77704,0.001,3.16474
300.0,109.817242,0.001,3.16421
320.0,114.62549,0.001,3.06199
340.0,119.660159,0.001,2.88282
360.0,124.737085,0.001,2.56315
380.0,129.534398,0.001,2.47869
400.0,134.535961,0.001,2.50356
420.0,139.541412,0.001,2.25397
440.0,144.335191,0.001,2.10952
460.0,149.357633,0.001,2.14477
480.0,154.381078,0.001,2.1551
500.0,159.260849,0.001,2.04275
520.0,164.229887,0.001,1.94342
540.0,169.275105,0.001,2.052
560.0,174.085488,0.001,1.85789
580.0,179.216815,0.001,1.71422
600.0,184.20448,0.001,1.6797
620.0,188.928629,0.001,1.73665
640.0,193.913075,0.001,1.57745
660.0,198.899943,0.001,1.62383
680.0,203.720996,0.001,1.55411
700.0,208.782837,0.001,1.47861
720.0,213.815473,0.001,1.6312
740.0,218.683497,0.001,1.54757
760.0,223.687049,0.001,1.44497
780.0,228.707614,0.001,1.40095
800.0,233.508701,0.001,1.30943
820.0,238.520934,0.001,1.19509
840.0,243.553098,0.001,1.28736
860.0,248.355217,0.001,1.44021
880.0,253.39278,0.001,1.29362
900.0,258.396863,0.001,1.06991
920.0,263.245173,0.001,1.11682
940.0,268.272285,0.001,1.10944
960.0,273.232771,0.001,1.04614
980.0,278.078393,0.001,0.932282
1000.0,318.045475,0.001,1.01232
1020.0,322.926665,0.001,0.828519
1040.0,327.915584,0.001,0.883187
1060.0,332.816428,0.001,0.926082
1080.0,337.720212,0.001,0.824432
1100.0,342.706558,0.001,0.724568
1120.0,347.631842,0.001,0.810864
1140.0,352.567561,0.001,0.74094
1160.0,357.563694,0.001,0.84098
1180.0,362.493088,0.001,0.90061
1200.0,367.340456,0.001,0.723951
1220.0,372.401343,0.001,0.654652
1240.0,377.392011,0.001,0.712541
1260.0,382.354118,0.001,0.606468
1280.0,387.41328,0.001,0.634523
1300.0,392.288496,0.001,0.721967
1320.0,397.324209,0.001,0.606793
1340.0,402.253304,0.001,0.575868
1360.0,407.09233,0.001,0.551469
1380.0,412.043681,0.001,0.581268
1400.0,417.038641,0.001,0.465296
1420.0,421.901688,0.001,0.452023
1440.0,426.71805,0.001,0.434966
1460.0,431.689508,0.001,0.493424
1480.0,436.708292,0.001,0.433691
1500.0,441.556814,0.001,0.541052
1520.0,446.59338,0.001,0.53189
1540.0,451.564857,0.001,0.427845
1560.0,456.315058,0.001,0.34897
1580.0,461.360292,0.001,0.415227
1600.0,466.371037,0.001,0.316548
1620.0,471.135073,0.001,0.413484
1640.0,476.062449,0.001,0.325007
1660.0,481.105817,0.001,0.297907
1680.0,485.874388,0.001,0.385954
1700.0,490.839659,0.001,0.383639
1720.0,495.898512,0.001,0.419433
1740.0,500.719314,0.001,0.351204
1760.0,505.640646,0.001,0.365453
1780.0,510.590202,0.001,0.345609
1800.0,515.405819,0.001,0.322726
1820.0,520.204628,0.001,0.347178
1840.0,525.183169,0.001,0.290969
1860.0,530.158216,0.001,0.216436
1880.0,535.030201,0.001,0.266278
1900.0,539.956805,0.001,0.18778
1920.0,544.853344,0.001,0.279148
1940.0,549.673136,0.001,0.230697
1960.0,554.671707,0.001,0.202077
1980.0,559.640793,0.001,0.246417
2000.0,599.659786,0.001,0.216725
2020.0,604.695644,0.001,0.201343
2040.0,609.537087,0.001,0.243561
2060.0,614.641979,0.001,0.173358
2080.0,619.693925,0.001,0.195392
2100.0,624.464301,0.001,0.222543
2120.0,629.551404,0.001,0.193625
2140.0,634.500361,0.001,0.222886
2160.0,639.433019,0.001,0.179895
2180.0,644.383121,0.001,0.219223
2200.0,649.326304,0.001,0.0974446
2220.0,653.698694,0.001,0.17224
2240.0,656.280645,0.001,0.162801
2260.0,659.272344,0.001,0.136064
2280.0,662.235806,0.001,0.188564
2300.0,665.233763,0.001,0.114924
2320.0,668.216467,0.001,0.17346
2340.0,671.208727,0.001,0.129244
2360.0,674.153275,0.001,0.132874
2380.0,677.147621,0.001,0.182956
2400.0,680.070668,0.001,0.146943
2420.0,682.98395,0.001,0.158773
2440.0,685.963341,0.001,0.111652
2460.0,688.882154,0.001,0.201093
2480.0,691.789296,0.001,0.130781
2500.0,694.72624,0.001,0.0926831
2520.0,697.653201,0.001,0.125427
2540.0,700.571268,0.001,0.126376
2560.0,703.494826,0.001,0.120894
2580.0,706.227871,0.001,0.115662
2600.0,709.201705,0.001,0.102098
2620.0,712.008646,0.001,0.102672
2640.0,714.823072,0.001,0.105858
2660.0,717.628764,0.001,0.0888993
2680.0,720.413733,0.001,0.0972817
2700.0,723.187511,0.001,0.0896424
2720.0,725.982358,0.001,0.10597
2740.0,728.756701,0.001,0.108279
2760.0,731.501248,0.001,0.0861036
2780.0,734.241517,0.001,0.103899
2800.0,737.017766,0.001,0.090133
2820.0,739.746852,0.001,0.0956324
2840.0,742.486486,0.001,0.0865764
2860.0,745.22982,0.001,0.072665
2880.0,747.945195,0.001,0.103719
2900.0,750.679019,0.001,0.124025
2920.0,753.41632,0.001,0.136305
2940.0,756.126738,0.001,0.100205
2960.0,758.864676,0.001,0.0658426
2980.0,761.592634,0.001,0.0677446
3000.0,779.267576,0.001,0.0758581
3020.0,782.03688,0.001,0.0396082
3040.0,784.786742,0.001,0.108139
3060.0,787.562591,0.001,0.0680516
3080.0,790.316998,0.001,0.0703759
3100.0,793.113745,0.001,0.05133
3120.0,795.906415,0.001,0.0661699
3140.0,798.745662,0.001,0.0830172
3160.0,801.555095,0.001,0.085377
3180.0,804.366592,0.001,0.0719505
3200.0,807.129426,0.001,0.0954112
3220.0,809.903165,0.001,0.0664726
3240.0,812.67146,0.001,0.0345334
3260.0,815.358544,0.001,0.0868286
3280.0,818.052418,0.001,0.0436281
3300.0,820.744289,0.001,0.0375988
3320.0,823.422971,0.001,0.113614
3340.0,826.094735,0.001,0.0656012
3360.0,828.771437,0.001,0.119669
3380.0,831.469601,0.001,0.0757573
3400.0,834.116266,0.001,0.0566293
3420.0,836.797421,0.001,0.0922021
3440.0,839.461354,0.001,0.0715214
3460.0,842.142391,0.001,0.0437255
3480.0,844.783417,0.001,0.0396838
3500.0,847.4564,0.001,0.0596741
3520.0,850.130692,0.001,0.0314399
3540.0,852.831731,0.001,0.0668881
3560.0,855.49929,0.001,0.0429657
3580.0,858.176198,0.001,0.0317376
3600.0,860.857339,0.001,0.0305724
3620.0,863.549026,0.001,0.106562
3640.0,866.220804,0.001,0.0619476
3660.0,868.891066,0.001,0.0630107
3680.0,871.530151,0.001,0.0935747
3700.0,874.125372,0.001,0.0392389
3720.0,876.802032,0.001,0.0485118
3740.0,879.462842,0.001,0.0430925
3760.0,882.128507,0.001,0.111843
3780.0,884.787575,0.001,0.0888111
3800.0,887.443744,0.001,0.0367697
3820.0,890.082407,0.001,0.0480259
3840.0,892.754634,0.001,0.0480501
3860.0,895.422446,0.001,0.0393914
3880.0,898.095316,0.001,0.0530665
3900.0,900.764453,0.001,0.0320937
3920.0,903.436486,0.001,0.0302066
3940.0,906.083876,0.001,0.0405862
3960.0,908.732409,0.001,0.0519163
3980.0,911.371078,0.001,0.0169639
4000.0,929.111694,0.001,0.0144385
4020.0,931.817606,0.001,0.0172115
4040.0,934.547237,0.001,0.0278352
4060.0,937.293945,0.001,0.0417802
4080.0,940.027359,0.001,0.0417932
4100.0,942.792966,0.001,0.0399483
4120.0,945.552405,0.001,0.033125
4140.0,948.333717,0.001,0.0275332
4160.0,950.99085,0.001,0.0440311
4180.0,953.617136,0.001,0.030261
4200.0,956.276342,0.001,0.0356159
4220.0,958.938953,0.001,0.0453041
4240.0,961.585532,0.001,0.0370967
4260.0,964.261467,0.001,0.0529541
4280.0,966.931484,0.001,0.0249465
4300.0,969.622059,0.001,0.0596515
4320.0,972.294724,0.001,0.0445732
4340.0,974.974136,0.001,0.0486236
4360.0,977.641824,0.001,0.0560881
4380.0,980.310213,0.001,0.0169574
4400.0,982.971107,0.001,0.0289943
4420.0,985.606143,0.001,0.0169846
4440.0,988.296759,0.001,0.0427832
4460.0,990.971761,0.001,0.0203742
4480.0,993.663525,0.001,0.0125897
4500.0,996.328974,0.001,0.054441
4520.0,999.001163,0.001,0.0410829
4540.0,1001.685719,0.001,0.0718117
4560.0,1004.383273,0.001,0.0225907
4580.0,1007.070071,0.001,0.0256747
4600.0,1009.752373,0.001,0.0562839
4620.0,1012.432889,0.001,0.0489085
4640.0,1015.12192,0.001,0.0325245
4660.0,1017.799456,0.001,0.0569316
4680.0,1020.513171,0.001,0.0533509
4700.0,1023.201083,0.001,0.0459599
4720.0,1025.893124,0.001,0.0256389
4740.0,1028.570926,0.001,0.0346208
4760.0,1031.248719,0.001,0.025153
4780.0,1033.961198,0.001,0.0408626
4800.0,1036.633488,0.001,0.0416545
4820.0,1039.336818,0.001,0.0220019
4840.0,1042.013006,0.001,0.0174805
4860.0,1044.681912,0.001,0.0409584
4880.0,1047.382679,0.001,0.0208948
4900.0,1050.073444,0.001,0.0418627
4920.0,1052.780622,0.001,0.0180903
4940.0,1055.469411,0.001,0.0310261
4960.0,1058.169638,0.001,0.0192366
4980.0,1060.863022,0.001,0.0418946
5000.0,1078.774834,0.001,0.0482933
5020.0,1081.523721,0.001,0.0340504
5040.0,1084.265466,0.001,0.0105515
5060.0,1087.067748,0.001,0.0224775
5080.0,1089.865232,0.001,0.01969
5100.0,1092.660775,0.001,0.0208831
5120.0,1095.465094,0.001,0.0228112
5140.0,1098.154855,0.001,0.0139304
5160.0,1100.863679,0.001,0.0266537
5180.0,1103.554984,0.001,0.0248674
5200.0,1106.241961,0.001,0.0205181
5220.0,1108.93539,0.001,0.0269938
5240.0,1111.628131,0.001,0.00622673
5260.0,1114.322868,0.001,0.0105083
5280.0,1117.045424,0.001,0.0661044
5300.0,1119.7464,0.001,0.0231672
5320.0,1122.445385,0.001,0.0134266
5340.0,1125.156754,0.001,0.0170012
5360.0,1127.888234,0.001,0.00706522
5380.0,1130.574574,0.001,0.0326423
5400.0,1133.298025,0.001,0.0285978
5420.0,1136.011331,0.001,0.0160684
5440.0,1138.727605,0.001,0.0310008
5460.0,1141.420143,0.001,0.0153081
5480.0,1144.119273,0.001,0.0275864
5500.0,1146.823226,0.001,0.00701016
5520.0,1149.52155,0.001,0.0115669
5540.0,1152.215875,0.001,0.0203523
5560.0,1154.941746,0.001,0.034245
5580.0,1157.66967,0.001,0.0293589
5600.0,1160.396272,0.001,0.0117223
5620.0,1163.115799,0.001,0.00998628
5640.0,1165.849262,0.001,0.0221653
5660.0,1168.562577,0.001,0.00987305
5680.0,1171.263171,0.001,0.0431975
5700.0,1173.974013,0.001,0.0101014
5720.0,1176.653854,0.001,0.010231
5740.0,1179.383751,0.001,0.0295633
5760.0,1182.112526,0.001,0.0239504
5780.0,1184.840778,0.001,0.0185537
5800.0,1187.56566,0.001,0.00740915
5820.0,1190.286541,0.001,0.0127226
5840.0,1193.006085,0.001,0.0192708
5860.0,1195.698459,0.001,0.0352668
5880.0,1198.399782,0.001,0.0240184
5900.0,1201.098892,0.001,0.00789382
5920.0,1203.820856,0.001,0.0101131
5940.0,1206.549815,0.001,0.0203365
5960.0,1209.280597,0.001,0.0218157
5980.0,1212.005852,0.001,0.0322724
6000.0,1229.965384,0.001,0.0240949
6020.0,1232.74661,0.001,0.00951307
6040.0,1235.482268,0.001,0.0223972
6060.0,1238.27902,0.001,0.00913878
6080.0,1241.074781,0.001,0.00479981
6100.0,1243.885752,0.001,0.0137026
6120.0,1246.651759,0.001,0.0121616
6140.0,1249.352598,0.001,0.0139827
6160.0,1252.072431,0.001,0.0174443
6180.0,1254.792045,0.001,0.0118575
6200.0,1257.488506,0.001,0.0024962
6220.0,1260.203885,0.001,0.00493642
6240.0,1262.931788,0.001,0.00953025
6260.0,1265.648577,0.001,0.0208714
6280.0,1268.366402,0.001,0.00462213
6300.0,1271.057621,0.001,0.0169337
6320.0,1273.76615,0.001,0.0196009
6340.0,1276.465861,0.001,0.0248926
6360.0,1279.191478,0.001,0.0417698
6380.0,1281.918406,0.001,0.00796084
6400.0,1284.648453,0.001,0.0222209
6420.0,1287.366843,0.001,0.0118095
6440.0,1290.096737,0.001,0.0201046
6460.0,1292.82752,0.001,0.0124164
6480.0,1295.568467,0.001,0.00550075
6500.0,1298.300802,0.001,0.0206237
6520.0,1301.028361,0.001,0.0182208
6540.0,1303.759226,0.001,0.00885215
6560.0,1306.484864,0.001,0.039407
6580.0,1309.22209,0.001,0.0133615
6600.0,1311.952015,0.001,0.0124401
6620.0,1314.681726,0.001,0.0138098
6640.0,1317.407693,0.001,0.00772876
6660.0,1320.124157,0.001,0.0150505
6680.0,1322.851208,0.001,0.0185234
6700.0,1325.556688,0.001,0.0159221
6720.0,1328.272204,0.001,0.00642314
6740.0,1330.999445,0.001,0.0299577
6760.0,1333.729491,0.001,0.0169993
6780.0,1336.460074,0.001,0.00350603
6800.0,1339.187239,0.001,0.00646127
6820.0,1341.909137,0.001,0.0208282
6840.0,1344.616141,0.001,0.0169091
6860.0,1347.315784,0.001,0.0167508
6880.0,1350.04211,0.001,0.0348395
6900.0,1352.776526,0.001,0.00422852
6920.0,1355.507015,0.001,0.0197825
6940.0,1358.236367,0.001,0.00444559
6960.0,1360.966882,0.001,0.00193793
6980.0,1363.690197,0.001,0.0183655
7000.0,1381.678592,0.001,0.0181468
7020.0,1384.475919,0.001,0.00736662
7040.0,1387.28492,0.001,0.0103651
7060.0,1390.069119,0.001,0.00261118
7080.0,1392.873143,0.001,0.00216563
7100.0,1395.685342,0.001,0.0162786
7120.0,1398.487747,0.001,0.0128054
7140.0,1401.300853,0.001,0.0062915
7160.0,1404.095209,0.001,0.00874325
7180.0,1406.948972,0.001,0.0318932
7200.0,1409.752306,0.001,0.025583
7220.0,1412.627234,0.001,0.0111348
7240.0,1415.488798,0.001,0.00807739
7260.0,1418.295419,0.001,0.00184699
7280.0,1421.140087,0.001,0.0294065
7300.0,1423.993251,0.001,0.00802571
7320.0,1426.836247,0.001,0.0381593
7340.0,1429.698144,0.001,0.0238782
7360.0,1432.543429,0.001,0.013516
7380.0,1435.401453,0.001,0.0118276
7400.0,1438.234397,0.001,0.0217579
7420.0,1441.107867,0.001,0.00704519
7440.0,1443.958972,0.001,0.0128086
7460.0,1446.807209,0.001,0.0106289
7480.0,1449.628181,0.001,0.00601129
7500.0,1452.386907,0.001,0.0066045
7520.0,1455.115127,0.001,0.00659394
7540.0,1457.838549,0.001,0.0094064
7560.0,1460.570335,0.001,0.0216507
7580.0,1463.305946,0.001,0.0104612
7600.0,1466.034285,0.001,0.00452444
7620.0,1468.7654,0.001,0.00973146
7640.0,1471.48954,0.001,0.0106978
7660.0,1474.217475,0.001,0.0187202
7680.0,1476.955282,0.001,0.00948661
7700.0,1479.659388,0.001,0.00407231
7720.0,1482.396858,0.001,0.00199219
7740.0,1485.139974,0.001,0.00379514
7760.0,1487.855518,0.001,0.0188099
7780.0,1490.60902,0.001,0.0131665
7800.0,1493.318398,0.001,0.00629975
7820.0,1496.064143,0.001,0.00513983
7840.0,1498.798225,0.001,0.00929451
7860.0,1501.525574,0.001,0.00802357
7880.0,1504.258116,0.001,0.00722945
7900.0,1506.986202,0.001,0.00269575
7920.0,1509.723295,0.001,0.00548715
7940.0,1512.451566,0.001,0.00559637
7960.0,1515.184683,0.001,0.00306493
7980.0,1517.897748,0.001,0.00202712
8000.0,1535.783136,0.001,0.026373
8020.0,1538.565497,0.001,0.0228073
8040.0,1541.342656,0.001,0.00504745
8060.0,1544.143915,0.001,0.00813082
8080.0,1546.948557,0.001,0.0137181
8100.0,1549.752834,0.001,0.00892222
8120.0,1552.474295,0.001,0.0025489
8140.0,1555.180401,0.001,0.00474411
8160.0,1557.912483,0.001,0.00298764
8180.0,1560.639269,0.001,0.00230397
8200.0,1563.368312,0.001,0.00919494
8220.0,1566.101686,0.001,0.0110965
8240.0,1568.834459,0.001,0.0093977
8260.0,1571.550931,0.001,0.0189933
