NumIters,Seconds,LearningRate,loss
0.0,13.720817,0.001,3.76663
20.0,16.054509,0.001,3.64739
40.0,18.383873,0.001,3.6027
60.0,20.748242,0.001,3.57044
80.0,23.087088,0.001,3.49199
100.0,25.484932,0.001,3.50922
120.0,27.8683,0.001,3.51415
140.0,30.21868,0.001,3.38929
160.0,32.580717,0.001,3.47885
180.0,34.932958,0.001,3.43258
200.0,37.28749,0.001,3.63847
220.0,39.64527,0.001,3.41713
240.0,42.007632,0.001,3.44843
260.0,44.375759,0.001,3.45724
280.0,46.750089,0.001,3.37393
300.0,49.120515,0.001,3.45001
320.0,51.490978,0.001,3.44243
340.0,53.865345,0.001,3.39353
360.0,56.239151,0.001,3.37622
380.0,58.620334,0.001,3.41899
400.0,61.008559,0.001,3.43901
420.0,63.419843,0.001,3.35876
440.0,65.801028,0.001,3.29234
460.0,68.199625,0.001,3.28189
480.0,70.59559,0.001,3.25587
500.0,72.99118,0.001,3.20449
520.0,75.400592,0.001,3.18984
540.0,77.795007,0.001,3.10202
560.0,80.205137,0.001,3.00086
580.0,82.612051,0.001,2.91294
600.0,85.026001,0.001,2.80017
620.0,87.431054,0.001,2.79587
640.0,89.856659,0.001,2.58888
660.0,92.273875,0.001,2.61148
680.0,94.68618,0.001,2.57541
700.0,97.115003,0.001,2.39361
720.0,99.526352,0.001,2.36879
740.0,101.966243,0.001,2.14124
760.0,104.391801,0.001,2.16533
780.0,106.820469,0.001,2.07937
800.0,109.252431,0.001,1.97299
820.0,111.692596,0.001,1.97382
840.0,114.133569,0.001,1.92594
860.0,116.59156,0.001,2.06545
880.0,119.064821,0.001,1.96728
900.0,121.563567,0.001,1.9164
920.0,124.088778,0.001,1.79596
940.0,126.615562,0.001,1.8451
960.0,129.153411,0.001,1.69996
980.0,131.683842,0.001,1.67667
1000.0,148.080755,0.001,1.88895
1020.0,150.651486,0.001,1.56755
1040.0,153.220788,0.001,1.63966
1060.0,155.822721,0.001,1.74751
1080.0,158.410975,0.001,1.53926
1100.0,161.021569,0.001,1.44008
1120.0,163.642759,0.001,1.48169
1140.0,166.2682,0.001,1.49288
1160.0,168.893695,0.001,1.46295
1180.0,171.501194,0.001,1.51711
1200.0,174.154966,0.001,1.48014
1220.0,176.790587,0.001,1.38808
1240.0,179.459738,0.001,1.40549
1260.0,182.129685,0.001,1.16632
1280.0,184.799176,0.001,1.33964
1300.0,187.461138,0.001,1.20344
1320.0,190.110023,0.001,1.25579
1340.0,192.792366,0.001,1.2167
1360.0,195.474591,0.001,1.28505
1380.0,198.141888,0.001,1.05654
1400.0,200.820149,0.001,1.08709
1420.0,203.491783,0.001,1.11518
1440.0,206.163997,0.001,0.985415
1460.0,208.810732,0.001,1.2002
1480.0,211.488756,0.001,0.996402
1500.0,214.161006,0.001,0.995021
1520.0,216.842576,0.001,0.981417
