NumIters,Seconds,LearningRate,loss
0.0,19.110065,0.001,4.00712
20.0,22.429051,0.001,3.62706
40.0,25.751247,0.001,3.71488
60.0,29.428524,0.001,3.59154
80.0,33.099154,0.001,3.5916
100.0,36.569887,0.001,3.61419
120.0,39.883599,0.001,3.59423
140.0,43.215325,0.001,3.41544
160.0,46.694089,0.001,3.54438
180.0,50.008775,0.001,3.46288
200.0,53.349442,0.001,3.65889
220.0,56.641911,0.001,3.43387
240.0,59.938703,0.001,3.4492
260.0,63.23489,0.001,3.42879
280.0,66.544757,0.001,3.25613
300.0,69.859911,0.001,3.35575
320.0,73.181292,0.001,3.25077
340.0,76.506108,0.001,3.18927
360.0,79.829864,0.001,3.02329
380.0,83.159836,0.001,3.04125
400.0,86.487323,0.001,3.00952
420.0,89.816297,0.001,2.81385
440.0,93.146051,0.001,2.66632
460.0,96.47524,0.001,2.46849
480.0,99.790902,0.001,2.47544
500.0,103.11852,0.001,2.39094
520.0,106.439271,0.001,2.20808
540.0,109.766715,0.001,2.29653
560.0,113.086608,0.001,2.17826
580.0,116.411066,0.001,1.97107
600.0,119.736196,0.001,2.00156
620.0,123.064359,0.001,1.94956
640.0,126.393543,0.001,1.86732
660.0,129.71555,0.001,1.88894
680.0,133.057062,0.001,1.7634
700.0,136.394407,0.001,1.76354
720.0,139.739186,0.001,1.76915
740.0,143.091546,0.001,1.67608
760.0,146.486417,0.001,1.60552
780.0,149.865987,0.001,1.61776
800.0,153.197947,0.001,1.48092
820.0,156.527551,0.001,1.52302
840.0,159.858238,0.001,1.52379
860.0,163.198235,0.001,1.55332
880.0,166.540073,0.001,1.50852
900.0,169.944555,0.001,1.37478
920.0,173.343165,0.001,1.3001
940.0,176.729516,0.001,1.37799
960.0,180.076129,0.001,1.34356
980.0,183.41295,0.001,1.17266
1000.0,205.881743,0.001,1.38644
1020.0,209.217601,0.001,1.05872
1040.0,212.562125,0.001,1.23584
1060.0,215.899569,0.001,1.15586
1080.0,219.249933,0.001,1.05313
1100.0,222.641818,0.001,1.04195
1120.0,225.993177,0.001,0.95048
1140.0,229.340545,0.001,0.940759
1160.0,232.68817,0.001,1.01141
1180.0,236.123344,0.001,1.04685
1200.0,239.484673,0.001,1.00624
1220.0,242.83219,0.001,0.990445
1240.0,246.19524,0.001,0.882804
1260.0,249.622051,0.001,0.763354
1280.0,253.005266,0.001,0.847451
1300.0,256.358321,0.001,0.800663
1320.0,259.716832,0.001,0.814994
1340.0,263.069748,0.001,0.700009
